userid,current_time,reminder_time,message,end,start
121774440785772547,2021-07-15 00:57:17.902163,2021-07-15 00:57:22.902163,test,,
121774440785772547,2021-07-15 00:57:38.479468,2021-07-15 00:57:43.479468,test,,
121774440785772547,2021-07-15 00:58:25.026759,2021-07-15 00:58:30.026759,test,,
121774440785772547,2021-07-15 02:09:51.794922,2021-07-15 02:09:56.794922,test,,
121774440785772547,2021-07-15 02:10:14.662428,2021-07-15 02:10:19.662428,test,,
121774440785772547,2021-07-15 02:10:42.437022,2021-07-15 02:10:47.437022,test,,
121774440785772547,2021-07-15 02:12:15.355980,2021-07-15 02:13:05.355980,test,,
121774440785772547,2021-07-15 02:12:23.856589,2021-07-15 02:12:28.856589,test,,
121774440785772547,2021-07-15 02:13:22.069932,2021-07-15 02:14:12.069932,ok,,
121774440785772547,2021-07-15 11:48:14.031154,2021-07-15 11:49:42.031154,kk,,
121774440785772547,2021-07-15 11:48:33.494811,2021-07-15 13:16:33.494811,kk,,
121774440785772547,,,kk,2021-07-15 13:56:54.879172,2021-07-15 12:28:54.879172
